template_id,median_z,mean_z,minchi2,mode_z,z_sigma68,z_sigma,z_mc
24,0.5877455121218815,0.5924740944143198,1.1144438750425252,0.59,0.021336505863735977,0.029453260540300827,0.5971425005434017
24,0.5884099406951867,0.5931852134277528,0.9142872442098451,0.59,0.021274627847050864,0.029542556751381923,0.6094065648441038
24,0.5889943862032833,0.5939542662676707,0.9864483466444653,0.59,0.021309746432416177,0.028909100889950676,0.5796206409086142
24,0.5872975062976015,0.5918435597043962,0.957053426517632,0.59,0.02141681004113566,0.03009927854552224,0.5904241014182445
24,0.5877911726071515,0.5924987689164418,1.0369240172085483,0.59,0.021323520502312843,0.029561286126199307,0.6002927486379405
12,1.123583526961018,1.142601735660172,1.4583533837095501,1.1,0.10435359571355096,0.13073538436432477,1.0938031626565314
12,1.1281820569829744,1.1478883623181355,1.5117301010944288,1.1,0.10347103601230134,0.13069104934792147,1.070041994492758
12,1.1295719000387299,1.149438548432989,1.401609063358137,1.1,0.10516344649480724,0.1320865990805599,1.0617238587539106
12,1.1216923006140307,1.140498743887559,1.3410995354312263,1.1,0.10752866436557307,0.1325695195529157,0.9355033124171427
12,1.1253882294802928,1.1448296848132031,1.3296750399402413,1.1,0.10571546589672931,0.13225376095756353,1.199187001030529
27,0.5192287989449907,0.4908246986832168,0.863601084750826,0.54,0.05340683985660538,0.09159198143207349,0.5386294071957094
27,0.5242023132602648,0.5025246302482845,1.048198205461631,0.54,0.0456412844747939,0.08178005733979755,0.5486964533698655
27,0.520635895330586,0.4930190672322989,0.8658053064891646,0.54,0.05198278659965472,0.09037664989555472,0.42570275479393777
27,0.521502225491732,0.4972278660237197,0.9580657666797379,0.54,0.048543870837491704,0.08520661635866594,0.4502390935333892
27,0.5205978402465985,0.4933850080160066,0.8984133269614176,0.54,0.051618966840527136,0.08961329125754196,0.4483999125373314
0,0.7581897946026452,0.7664144371655636,7.238106462298447,0.77,0.06677813508848057,0.07141985550878924,0.8401951127654532
0,0.757428766764787,0.7656754764162905,7.23258801796112,0.77,0.06739767780218547,0.07182180665781386,0.8049641903247412
0,0.7569510054406975,0.7650894928089917,7.250138193182863,0.77,0.06699779890513241,0.07127283488031677,0.7336753485601007
0,0.7586661543300689,0.766969209137067,7.198739038015276,0.77,0.0669528780883556,0.07175024792911998,0.8035809118665871
0,0.7581173882531212,0.7663845608564833,7.1800122975606655,0.77,0.06709741900835586,0.07170692747900025,0.6842515468023642
15,0.9207167351451325,0.9579101169077464,0.4007970153986946,0.8400000000000001,0.1811512705505262,0.23454313368206411,1.192609467032223
16,0.9318603991834133,0.9678731196811471,0.2431077447254495,0.85,0.18269250366694745,0.23312502175744454,0.7243678983534931
16,0.9195809157919311,0.9568096254415855,0.37446484152673065,0.8400000000000001,0.18644881269539443,0.23937363403853582,0.6103963952939492
15,0.9434401383268913,0.9808514741093786,0.31220043979476486,0.98,0.18255352236604283,0.2331140373437299,0.7202093087767887
15,0.9263041353840054,0.9628493798941085,0.3287888709393769,0.85,0.1808643177650735,0.2330704206459537,0.6104984912325317
5,0.720823206906207,0.7190889023377213,0.0254441349679837,0.74,0.0704355628206651,0.06625170892590472,0.6854054184879862
5,0.7247419736668492,0.7226920816585279,0.012205703153540526,0.75,0.07028150746018158,0.06615115027181699,0.7318903746351542
5,0.7217439665207348,0.7198784661339857,0.02464837243405782,0.74,0.07002616061990524,0.06595002943711736,0.702280498762147
5,0.7245439853830635,0.7225120612404969,0.018499012050824604,0.75,0.07033344365806937,0.06614725542084007,0.7484013102145807
5,0.7237060362467485,0.7217561076016299,0.017370651534065473,0.74,0.07021215734153663,0.06608050328312412,0.7477558565487331
18,1.092065808449745,1.10828157277649,0.21117271404267512,1.12,0.20253452166884878,0.2242118820716576,0.971852931568464
19,1.0713434748998,1.0871514513695024,0.21938845323614942,1.12,0.2020204561879856,0.22458749279880583,1.064657450459666
18,1.0911290964912317,1.1069170791359366,0.19944934198656483,1.12,0.20357961258683877,0.22413080980495184,1.496928626372669
19,1.0745012377676675,1.0904525884094227,0.22131816029525453,1.12,0.2017395069435321,0.22485663817355034,0.755033074599798
19,1.0698524035721073,1.0858594236968515,0.2337819316916807,1.12,0.20365738447860215,0.2276165085534737,1.130480303599848
9,0.6452593845099571,0.6426241859634296,0.7447673251640481,0.68,0.05322584319410323,0.05156895597870135,0.642938302462232
