template_id,median_z,mean_z,minchi2,mode_z,z_sigma68,z_sigma,z_mc,concentration_i,concentration_cal_i,asymmetry_i,clumpiness_i,gini_i,m20_i,mag_sersic_i,mag_cal_i,re_sersic_i,re_cal_i,n_sersic_i,n_sersic_cal_i,ellipticity_sersic_i,ellipticity_sersic_cal_i
19,0.5637089122675469,0.5618883755001802,1.6895159357009106,0.5700000000000001,0.01949526858466527,0.05623742117508317,0.582486181030497,1.850225,-0.5100651,0.0275836,0.0,0.503246,-1.70486,19.697374,-0.101026535,2.1639855,-0.19221449,2.381204,0.2930038,0.39669502,-0.029304981
19,0.5635564128446231,0.5615831435836532,1.6949820328900387,0.5700000000000001,0.01950417944891253,0.05670680870348709,0.5729759941400355,1.850225,-0.5100651,0.0275836,0.0,0.503246,-1.70486,19.697374,-0.101026535,2.1639855,-0.19221449,2.381204,0.2930038,0.39669502,-0.029304981
11,0.5781381668820281,0.5824266627703771,0.3500452813368611,0.5800000000000001,0.020193606994960034,0.029521379338079825,0.5799027291831786,1.7013199,-0.5088301,0.137856,0.113544,0.478879,-1.70267,20.47019,-0.025110245,2.0918226,-0.5952773,0.98688805,0.015788078,0.69558203,-0.04101801
11,0.578321130397305,0.5826789927572161,0.3816008422509185,0.5800000000000001,0.020213123651823206,0.02938483424386496,0.5633589139309202,1.7013199,-0.5088301,0.137856,0.113544,0.478879,-1.70267,20.47019,-0.025110245,2.0918226,-0.5952773,0.98688805,0.015788078,0.69558203,-0.04101801
11,0.5780409705746475,0.5823037322081008,0.3611958492328995,0.5800000000000001,0.020232443767197128,0.029628544964496524,0.6019933174552147,1.7013199,-0.5088301,0.137856,0.113544,0.478879,-1.70267,20.47019,-0.025110245,2.0918226,-0.5952773,0.98688805,0.015788078,0.69558203,-0.04101801
11,0.5785653317390926,0.5830023729916163,0.35396569031127,0.5800000000000001,0.020145901548723255,0.02912801275396535,0.5759403519535765,1.7013199,-0.5088301,0.137856,0.113544,0.478879,-1.70267,20.47019,-0.025110245,2.0918226,-0.5952773,0.98688805,0.015788078,0.69558203,-0.04101801
11,0.5783551747743076,0.5827245294857268,0.3500863031422341,0.5800000000000001,0.020176871969102894,0.02931782097593926,0.5973754168019767,1.7013199,-0.5088301,0.137856,0.113544,0.478879,-1.70267,20.47019,-0.025110245,2.0918226,-0.5952773,0.98688805,0.015788078,0.69558203,-0.04101801
4,0.7712564433980379,0.7774386132755138,12.874792273877574,0.77,0.02610341976620395,0.025071841555290166,0.8030871858835552,1.6528599,-0.5088301,0.116811,0.0586566,0.451302,-1.55391,20.502958,-0.087841034,1.0317364,0.059336364,1.4238098,-1.0072901,0.67935705,-0.25844294
4,0.7717509105408997,0.777780340625207,12.875329847935063,0.77,0.026046095460264984,0.024990142686212427,0.7601053576591736,1.6528599,-0.5088301,0.116811,0.0586566,0.451302,-1.55391,20.502958,-0.087841034,1.0317364,0.059336364,1.4238098,-1.0072901,0.67935705,-0.25844294
4,0.7725768714643351,0.7784842135410986,12.83272242637031,0.77,0.02599261897812355,0.025007776828798112,0.7672685845392899,1.6528599,-0.5088301,0.116811,0.0586566,0.451302,-1.55391,20.502958,-0.087841034,1.0317364,0.059336364,1.4238098,-1.0072901,0.67935705,-0.25844294
